StartClass,StartSubclass,StartDecimal,StartCutterLetter,StartCutterNumber,EndClass,EndSubclass,EndDecimal,EndCutterLetter,EndCutterNumber,"Description"
JV,1,,,,,9480,,,,"Colonies and colonization. Emigration and immigration. International migration"
JV,1,,,,,5397,,,,"Colonies and colonization"
JV,1,,,,,9,,,,"Periodicals. Serials"
JV,10,,,,,19,,,,"Societies"
JV,61,,,,,152,,,,"History"
JV,412,,,,,461,,,,"Administration"
JV,500,,,,,5397,,,,"Colonizing nations"
JV,6001,,,,,9480,,,,"Emigration and immigration. International migration"
JV,6001,,,,,6006,,,,"Periodicals. Serials"
JV,6021,,,,,6033,,,,"History"
JV,6091,,,,,6124,,,,"Emigration"
JV,6201,,,,,6347,,,,"Immigration"
JV,6403,,,,,7127,,,,"United States"
JV,7200,,,,,7539,,,,"Canada, Latin America, etc."
JV,7590,,,,,8339,7,,,"Europe"
JV,8490,,,,,8758,,,,"Asia"
JV,8760,,,,,,,,,"Arab countries"
JV,8762,,,,,,,,,"Islamic countries"
JV,8790,,,,,9024,5,,,"Africa"
JV,9029,,,,,9036,,,,"Atlantic Ocean islands"
JV,9040,,,,,9047,,,,"Indian Ocean islands"
JV,9100,,,,,9269,,,,"Australia. New Zealand"
JV,9290,,,,,9470,,,,"Pacific Ocean islands"
JX,1,,,,,6650,,,,"International law, see JZ and KZ"
JX,63,,,,,191,,,,"Collections. Documents. Cases"
JX,220,,,,,1195,,,,"Collections, cases, etc. By country"
JX,1261,,,,,1283,,,,"Codification of international law"
JX,1305,,,,,1598,,,,"Foreign relations"
JX,1621,,,,,1896,,,,"Diplomacy"
JX,1901,,,,,1995,,,,"International arbitration, organization, etc."
JX,2001,,,,,6650,,,,"International law"
JZ,5,,,,,6530,,,,"International relations"
JZ,5,5,,,,18,,,,"Periodicals"
JZ,24,,,,,38,,,,"Societies, associations, academies, institutes, etc., for the study of international relations"
JZ,63,,,,,1153,,,,"Sources"
JZ,221,,,,,1153,,,,"By region or country"
JZ,1249,,,,,1254,,,,"Relation to other disciplines and topics"
JZ,1305,,,,,2060,,,,"Scope of international relations. Political theory. Diplomacy"
JZ,1329,5,,,,1395,,,,"By period"
JZ,1400,,,,,1454,,,,"Diplomatic and consular service"
JZ,1464,,,,,2060,,,,"Scope of international relations with regard to countries, territories, regions, etc."
JZ,3674,,,,,3875,,,,"State territory and its parts"
JZ,3685,,,,,,,,,"Boundaries"
JZ,3686,,,,,3875,,,,"International waters"
JZ,4835,,,,,5490,,,,"International organizations and associations"
JZ,4841,,,,,4848,,,,"Political non governmental organizations. NGOs"
JZ,4850,,,,,5490,,,,"Intergovernmental organizations. IGOs"
JZ,4853,,,,,4934,,,,"League of Nations"
JZ,4935,,,,,5160,,,,"United Nations"
JZ,5511,2,,,,6300,,,,"Promotion of peace. Peaceful change"
JZ,5514,,,,,5526,,,,"Societies, associations, academies, institutes, etc., for peace promotion, research and education"
JZ,5527,,,,,5532,,,,"Congresses and conferences"
JZ,5587,,,,,6009,,,,"International security. Disarmament. Global survival"
JZ,6010,,,,,6060,,,,"Pacific settlement of international disputes"
JZ,6360,,,,,6377,,,,"Non military coercion"
JZ,6385,,,,,6405,,,,"The armed conflict. War and order"
JZ,6422,,,,,6422,5,,,"Neutrality. Non participation in wars. Norms of neutrality"
JZ,6530,,,,,,,,,"Humanitarian aspects of war"
K,1,,,,,7720,,,,"Law in general. Comparative and uniform law. Jurisprudence"
K,1,,,,,36,5,,,"Periodicals"
K,37,,,,,44,,,,"Bibliography"
K,46,,,,,,,,,"Monographic series"
K,48,,,,,,,,,"Encyclopedias"
K,50,,,,,54,,,,"Dictionaries. Words and phrases"
K,58,,,,,,,,,"Maxims. Quotations"
K,64,,,,,,,,,"Yearbooks"
K,68,,,,,70,,,,"Directories"
K,85,,,,,89,,,,"Legal research"
K,94,,,,,,,,,"Legal composition and draftsmanship"
K,100,,,,,103,,,,"Legal education"
K,109,,,,,110,,,,"Law societies. International bar associations"
K,115,,,,,130,,,,"The legal profession"
K,133,,,,,,,,,"Legal aid. Legal assistance to the poor"
K,140,,,,,165,,,,"History of law"
K,170,,,,,,,,,"Biography"
K,175,,,,,,,,,"Congresses"
K,176,,,,,177,,,,"Collected works (nonserial)"
K,179,,,,,,,,,"Addresses, essays, lectures"
K,181,,,,,184,7,,,"Miscellany"
K,190,,,,,195,,,,"Ethnological jurisprudence. Primitive law"
K,201,,,,,487,,,,"Jurisprudence. Philosophy and theory of law"
K,202,,,,,,,,,"Periodicals"
K,212,,,,,213,,,,"Methodology"
K,215,,,,,218,,,,"History"
K,236,,,,,,,,,"Universality and non universality of law"
K,237,,,,,264,,,,"The concept of law"
K,270,,,,,274,,,,"Acts and events"
K,280,,,,,286,,,,"Sources of law"
K,288,,,,,296,,,,"Interpretation and construction of law. Lacunae in law"
K,300,,,,,304,,,,"Classification of law. Typology"
K,321,,,,,474,,,,"Schools of legal theory"
K,325,,,,,328,,,,"Historical jurisprudence"
K,330,,,,,344,,,,"Positivism"
K,366,,,,,380,,,,"Sociology of law. Sociological jurisprudence"
K,400,,,,,474,,,,"Natural law"
K,486,,,,,487,,,,"Relation of law to other topics"
K,520,,,,,5582,,,,"Comparative law. International uniform law"
K,524,,,,,525,,,,"Treaties and other international agreements"
K,540,,,,,546,,,,"Trials"
K,578,,,,,579,,,,"Concepts applying to several branches of law"
K,583,,,,,591,,,,"Legal systems compared"
K,592,,,,,597,,,,"Regional divisions. Interregional comparative law"
K,600,,,,,615,,,,"Private law"
K,605,,,,,615,,,,"Unification"
K,623,,,,,968,,,,"Civil law"
K,625,,,,,709,,,,"Persons"
K,670,,,,,709,,,,"Domestic relations. Family law"
K,720,,,,,792,,,,"Property"
K,795,,,,,798,,,,"Trusts and trustees"
K,805,,,,,821,,,,"Succession upon death"
K,830,,,,,968,,,,"Obligations"
K,840,,,,,917,,,,"Contracts"
K,920,,,,,,,,,"Restitution. Quasi contracts. Unjust enrichment"
K,923,,,,,968,,,,"Torts"
K,970,,,,,,,,,"Compensation to victims of crime. Reparation"
K,1000,,,,,1395,,,,"Commercial law"
K,1010,,,,,1014,,,,"The merchant. Business enterprises"
K,1021,,,,,1022,,,,"Commercial agency"
K,1024,,,,,1132,,,,"Commercial contracts"
K,1026,,,,,1045,,,,"Sale of goods"
K,1054,,,,,1065,5,,,"Negotiable instruments"
K,1066,,,,,1089,,,,"Banking"
K,1094,,,,,1096,,,,"Loan of money"
K,1100,,,,,1109,,,,"Secured transactions"
K,1112,,,,,1116,,,,"Investments"
K,1130,,,,,1132,,,,"Carriage of goods and passengers. Carriers"
K,1150,,,,,1231,,,,"Maritime law"
K,1195,,,,,1223,,,,"Maritime social legislation"
K,1226,,,,,1231,,,,"Marine insurance"
K,1241,,,,,1287,,,,"Insurance"
K,1301,,,,,1366,,,,"Business associations"
K,1370,,,,,1395,,,,"Insolvency and bankruptcy. Creditors' rights"
K,1401,,,,,1578,,,,"Intellectual property"
K,1411,,,,,1485,,,,"Copyright"
K,1500,,,,,1578,,,,"Industrial property"
K,1700,,,,,1973,,,,"Social legislation"
K,1701,,,,,1841,,,,"Labor law"
K,1861,,,,,1929,,,,"Social insurance"
K,1960,,,,,1973,,,,"Public welfare. Public assistance"
K,2100,,,,,2385,,,,"Courts. Procedure"
K,2110,,,,,2155,,,,"Court organization and procedure"
K,2201,,,,,2385,,,,"Civil procedure"
K,2390,,,,,,,,,"Negotiated settlement. Compromise"
K,2400,,,,,2405,,,,"Arbitration and award"
K,3150,,,,,,,,,"Public law"
K,3154,,,,,3370,,,,"Constitutional law"
K,3161,,,,,,,,,"Constitutional history"
K,3169,,,,,,,,,"The state"
K,3171,,,,,3179,,,,"Constitutional principles"
K,3184,,,,,3188,,,,"Form and structure of government"
K,3195,,,,,,,,,"National territory"
K,3201,,,,,,,,,"Foreign relations administration"
K,3220,,,,,,,,,"Public policy"
K,3224,,,,,3278,,,,"Individual and state"
K,3280,,,,,3282,,,,"Church and state"
K,3289,,,,,3367,,,,"Organs of government"
K,3290,,,,,3304,,,,"The people. Election law"
K,3310,,,,,3329,,,,"The legislature"
K,3332,,,,,3363,,,,"Heads of state and the central government"
K,3367,,,,,,,,,"The judiciary"
K,3370,,,,,,,,,"Constitutional courts and procedure"
K,3375,,,,,,,,,"Colonial law"
K,3400,,,,,3431,,,,"Administrative law"
K,3402,,,,,3417,,,,"The administrative process"
K,3420,,,,,3431,,,,"Administrative organization"
K,3440,,,,,3460,,,,"Civil service. Government officials and employees"
K,3476,,,,,3560,,,,"Public property. Public restraint on private property"
K,3566,,,,,3578,,,,"Public health"
K,3581,,,,,3598,,,,"Environmental law"
K,3601,,,,,3611,,,,"Medical legislation"
K,3615,,,,,3622,,,,"Veterinary laws. Veterinary medicine and hygiene. Prevention of cruelty to animals"
K,3625,,,,,3649,,,,"Food. Drugs. Cosmetics"
K,3651,,,,,3654,,,,"Alcohol. Alcoholic beverages"
K,3661,,,,,3674,,,,"Public safety"
K,3700,,,,,3705,,,,"Control of social activities"
K,3740,,,,,3762,,,,"Education"
K,3770,,,,,3795,,,,"Science and arts. Research"
K,3820,,,,,3836,,,,"Economic constitution, policy, planning, and development"
K,3840,,,,,4375,,,,"Regulation of industry, trade, and commerce. Occupational law"
K,3842,,,,,3862,,,,"Trade regulations. Control of trade practices"
K,3870,,,,,3918,,,,"Primary production. Extractive industries"
K,3921,,,,,3925,,,,"Manufacturing industries"
K,3926,,,,,3935,,,,"Food processing industries"
K,3941,,,,,3974,,,,"Trade and commerce"
K,3978,,,,,3992,,,,"Public utilities"
K,4011,,,,,4343,,,,"Transportation and communication"
K,4360,,,,,4375,,,,"Professions and occupations"
K,4430,,,,,4675,,,,"Public finance"
K,4453,,,,,4640,,,,"National revenue"
K,4650,,,,,4675,,,,"State and local finance"
K,4700,,,,,4705,,,,"Government measures in time of war, national emergency, or economic crisis"
K,4720,,,,,4780,,,,"National defense. Military law"
K,4725,,,,,4734,,,,"The military establishment. Armed forces"
K,4740,,,,,4760,,,,"Military criminal law and procedure"
K,5000,,,,,5582,,,,"Criminal law and procedure"
K,5015,4,,,,5350,,,,"Criminal law"
K,5401,,,,,5570,,,,"Criminal procedure"
K,5575,,,,,5582,,,,"Juvenile criminal law and procedure"
K,7000,,,,,7720,,,,"Private international law. Conflict of laws"
K,7051,,,,,7054,,,,"International unification, approximation, and harmonization"
K,7060,,,,,7081,,,,"Choice of law"
K,7085,,,,,,,,,"Retroactive law. Intertemporal law"
K,7090,,,,,,,,,"Juristic acts"
K,7120,,,,,7197,,,,"Persons"
K,7125,,,,,7140,,,,"Natural persons"
K,7145,,,,,7148,,,,"Juristic persons. Associations"
K,7155,,,,,7197,,,,"Domestic relations. Family law"
K,7157,,,,,7179,,,,"Marriage. Husband and wife"
K,7181,,,,,7197,,,,"Parent and child. Guardian and ward"
K,7200,,,,,7218,,,,"Property"
K,7222,,,,,,,,,"Trust and trustees"
K,7230,,,,,7245,,,,"Succession upon death"
K,7260,,,,,7338,,,,"Obligations"
K,7265,,,,,7305,,,,"Contracts"
K,7310,,,,,,,,,"Restitution. Quasi contracts. Unjust enrichment"
K,7315,,,,,7338,,,,"Torts"
K,7340,,,,,7512,,,,"Commercial law"
K,7350,,,,,7444,,,,"Commercial contracts"
K,7449,,,,,7460,,,,"Maritime law"
K,7470,,,,,,,,,"Insurance"
K,7485,,,,,7495,,,,"Business associations. Business corporations"
K,7510,,,,,7512,,,,"Insolvency and bankruptcy. Creditors' rights"
K,7550,,,,,7582,,,,"Intellectual property"
K,7555,,,,,7557,,,,"Copyright"
K,7570,,,,,7582,,,,"Industrial property"
K,7585,,,,,7595,,,,"Social legislation"
K,7611,,,,,7688,,,,"Civil procedure. International civil procedure"
K,7690,,,,,,,,,"Arbitration and award"
K,7720,,,,,,,,,"Recognition of foreign administrative acts"
KB,1,,,,,4855,,,,"Religious law in general. Comparative religious law. Jurisprudence"
KB,2,,,,,4,,,,"Bibliography"
KB,7,,,,,68,,,,"Periodicals"
KB,68,,,,,,,,,"Annuals. Annuaires"
KB,70,,A,,,,,Z,,"Monographic series. By title, A-Z"
KB,73,,,,,,,,,"Collections. Compilations (General and comprehensive)"
KB,74,,,,,78,,,,"Auxiliary sciences"
KB,90,,A,,,,,Z,,"Encyclopedias. Law dictionaries. Terms and phrases. Vocabularies. By author or title, A-Z"
KB,100,,A,,,,,Z,,"Proverbia. Legal maxims. Brocardica juris. Regulae juris. 			By author or title, A-Z"
KB,122,,,,,,,,,"Biography (Collective)"
KB,130,,,,,,,,,"Legal research. Legal bibliography. Methods of bibliographic research"
KB,150,,,,,,,,,"Conferences. Symposia"
KB,160,,,,,,,,,"General works. Treatises"
KB,162,,,,,250,,,,"Legal systems compared"
KB,270,,,,,280,,,,"Theory, philosophy, and science of religious law"
KB,400,,,,,4855,,,,"Interdisciplinary discussion of subjects"
KB,400,,,,,,,,,"Ritual law. Religious observances and rituals"
KB,410,,,,,,,,,"Law reform and policies. Criticism"
KB,479,,,,,,,,,"Private law (General)"
KB,480,,,,,482,,,,"Private international law. Conflict of laws"
KB,491,,,,,,,,,"Civil law (General)"
KB,524,,,,,530,,,,"Persons"
KB,531,,,,,619,,,,"Domestic relations. Family law"
KB,622,,,,,628,5,,,"Guardianship. Guardian and ward"
KB,632,,,,,636,2,,,"Inheritance and succession"
KB,636,3,,,,,,,,"Gifts. Charitable gifts. Donations"
KB,640,,,,,726,,,,"Property. Res in commercio"
KB,810,,,,,962,8,,,"Obligations. Contracts and transactions"
KB,1270,,,,,1278,,,,"Labor laws and legislation"
KB,1468,,,,,1550,,,,"Social laws and legislation. Welfare. Charities"
KB,1572,,,,,1690,,,,"Courts and procedure"
KB,2000,,,,,2035,,,,"Public law. The State"
KB,2101,,,,,2862,,,,"Constitutions and religion. Constitutional and administrative law"
KB,2870,,,,,,,,,"Civil service. Employees of state, communal agencies, and religious corporations"
KB,3000,,,,,3034,,,,"Police and public safety"
KB,3040,5,,,,3056,,,,"Public property. Government property"
KB,3075,,,,,3096,5,,,"Public health"
KB,3098,,,,,3121,7,,,"Medical legislation"
KB,3122,,,,,,,,,"Veterinary medicine and hygiene. Veterinary public health KB3123 3123.5 			Animal protection. Animal welfare. Animal rights"
KB,3124,,,,,3125,,,,"Birth control. Family planning"
KB,3127,,,,,3135,,,,"Environmental law"
KB,3137,,,,,3183,,,,"Cultural affairs"
KB,3190,,,,,3429,,,,"Economic law"
KB,3440,,,,,3500,7,,,"Transportation and communication"
KB,3515,,,,,3522,,,,"Professions. Intelligentsia"
KB,3526,,,,,3694,,,,"Public finance"
KB,3709,,,,,3726,,,,"Government measures in time of war, national emergency, or economic crisis"
KB,3735,,,,,3780,,,,"Military law"
KB,3790,,,,,4855,,,,"Criminal law and procedure"
KBM,1,,,,,4855,,,,"Jewish law. Halakah Halakah"
KBM,523,6,,,,,,,,"Even ha ezer law (General)"
KBM,523,72,,,,,,,,"H.oshen mishpat. law (General)"
KBM,523,8,,,,4855,,,,"Mishpat Ivri"
KBM,523,8,,,,,,,,"Bibliography"
KBM,523,82,,,,,,,,"Monographic series"
KBM,523,9,,,,,,,,"Legal education. Study and teaching"
KBM,524,,,,,,,,,"General works"
KBM,524,12,,,,524,26,,,"The concept of Jewish law"
KBM,524,3,,,,,,,,"Sources of Jewish law (Mishpat Ivri)"
KBM,524,32,,,,,34,,,"Methodology of law development"
KBM,524,36,,,,,,,,"Influence of other legal systems on Jewish law"
KBM,524,38,,,,,,,,"Law reform and policies. Criticism"
KBM,524,4,A,,,,,Z,,"Concepts applying to several branches of the law, A Z"
KBM,524,42,,,,,,,,"Private law"
KBM,524,43,,,,,,,,"Conflict of laws. Plurality of laws conflict"
KBM,524,5,,,,,,,,"Assistance in emergencies"
KBM,524,6,,,,530,,,,"Persons"
KBM,531,,,,,619,,,,"Domestic relations. Family law"
KBM,622,,,,,628,5,,,"Guardian and ward. Apotropos"
KBM,632,,,,,636,2,,,"Inheritance and succession"
KBM,636,3,,,,,,,,"Gifts. Charitable gifts. Donations"
KBM,639,,,,,1424,,,,"Dinei mamonot"
KBM,1468,,,,,1547,,,,"Social laws and legislation"
KBM,1572,,,,,1942,,,,"Courts and procedure"
KBM,2000,,,,,2024,,,,"Public law. The state and the Jewish community. Kehillah"
KBM,2070,,,,,2614,,,,"Constitutional law. Constitutional principles of the Jewish community"
KBM,2711,,,,,2840,,,,"Administrative law and process of communal agencies"
KBM,2970,,,,,,,,,"Civil service. Employees of communal agencies"
KBM,3000,,,,,3036,5,,,"Police and public safety"
KBM,3040,5,,,,3073,,,,"Public property. Communal property. Restraints on private property"
KBM,3075,,,,,3097,,,,"Public health"
KBM,3098,,,,,3122,,,,"Medical legislation"
KBM,3124,,,,,3125,,,,"Birth control. Family planning"
KBM,3127,,,,,3134,,,,"Environmental law"
KBM,3137,,,,,3183,,,,"Cultural affairs"
KBM,3190,,,,,3436,,,,"Economic law"
KBM,3440,,,,,3504,5,,,"Transportation and communication"
KBM,3515,,,,,3519,,,,"Professions"
KBM,3526,,,,,3695,,,,"Public finance"
KBM,3709,,,,,3729,,,,"Measures in time of war, national emergency, or economic crisis"
KBM,3738,,,,,3785,,,,"Community defense. Military law"
KBM,3790,,,,,4855,,,,"Criminal law and procedure"
KBP,1,,,,,4860,,,,"Islamic law. Shari'ah. Fiqh"
KBP,2,2,,,,8,,,,"Bibliography"
KBP,9,5,,,,,,,,"Monographic series"
KBP,10,,,,,14,5,,,"Societies. Associations"
KBP,15,,,,,,,,,"Congresses. Conferences"
KBP,18,,,,,,,,,"Academies. Institutes"
KBP,40,,,,,,,,,"Encyclopedias. Dictionaries"
KBP,40,2,,,,,,,,"Maxims. Quotations"
KBP,40,5,,,,,,,,"Directories"
KBP,41,,,,,,,,,"Legal research"
KBP,42,,,,,43,,,,"Legal education. Study and teaching"
KBP,50,,,,,69,,,,"History, development and application of Islamic law"
KBP,70,,,,,75,4,,,"Biography"
KBP,100,,,,,136,8,,,"Sources"
KBP,144,,,,,,,,,"General works"
KBP,173,25,,,,,6,,,"Islamic law and other disciplines or subjects"
KBP,174,,,,,190,5,,,"Observances and practice of Islam"
KBP,250,,,,,420,,,,"Schools of thought. Islamic legal schools. Madhahib"
KBP,425,,,,,466,3,,,"Usul al-fiqh. Jurisprudence and theory of law. Science of legal reasoning"
KBP,469,,,,,,,,,"Influence of other legal systems on Islamic law"
KBP,470,,,,,,,,,"Law reform. Criticism. Tanzim"
KBP,480,,,,,485,,,,"Conflict of laws. Tanazu' al-qawanin"
KBP,490,,,,,4860,,,,"Furu' al-fiqh. Substantive law. Branches of law"
KBP,490,2,,,,,95,,,"General works. Treatises"
KBP,491,,,,,497,95,,,"Particular genres"
KBP,500,,,,,509,8,,,"General concepts"
KBP,524,,,,,638,,,,"Ahal shakhsiyah"
KBP,639,,,,,1154,,,,"Mu'amalat"
KBP,1155,,,,,1194,,,,"Intellectual and industrial property"
KBP,1234,,,,,1259,,,,"Unfair competition"
KBP,1270,,,,,1467,,,,"Labor laws and legislation"
KBP,1468,,,,,1569,,,,"Social laws and legislation"
KBP,1572,,,,,1942,,,,"Courts and procedure"
KBP,2000,,,,,2035,,,,"Public law. The state and Islam"
KBP,2101,,,,,2612,,,,"Constitution of the state. Constitutional law"
KBP,2730,,,,,2968,,,,"Government and administration. Siysah. Administrative process"
KBP,2970,,,,,,,,,"Civil service. Employees of communal agencies"
KBP,3000,,,,,3037,,,,"Police and public safety"
KBP,3040,5,,,,3072,,,,"Public property. Government property"
KBP,3075,,,,,3096,5,,,"Public health"
KBP,3098,,,,,3121,5,,,"Medical legislation"
KBP,3122,,,,,,,,,"Veterinary medicine and hygiene. Veterinary public health"
KBP,3123,,,,,3123,5,,,"Animal protection. Animal welfare. Animal rights"
KBP,3124,,,,,3125,,,,"Birth control. Family planning"
KBP,3127,,,,,3135,,,,"Environmental law"
KBP,3137,,,,,3183,3,,,"Cultural affairs"
KBP,3190,,,,,3437,,,,"Economic law"
KBP,3440,,,,,3512,,,,"Transportation and communication"
KBP,3515,,,,,3521,,,,"Professions. Intelligentsia"
KBP,3526,,,,,3705,,,,"Public finance"
KBP,3709,,,,,3727,,,,"Government measures in time of war, national emergency, or economic crisis"
KBP,3738,,,,,3785,,,,"Military law"
KBP,3790,,,,,4860,,,,"Criminal law and procedure"
KBR,2,,,,,4090,,,,"History of canon law"
KBR,2,,,,,19,,,,"Bibliography"
KBR,21,,,,,,,,,"Annuals. Annuaires. Yearbooks"
KBR,22,,,,,,,,,"Monographic series"
KBR,27,,,,,41,7,,,"Official acts of the Holy See"
KBR,42,,,,,54,5,,,"Decisions of ecclesiastical tribunals and courts, and related materials"
KBR,56,,,,,,,,,"Encyclopedias. Law dictionaries. Terms and phrases. Vocabularia"
KBR,64,,,,,,,,,"Directories"
KBR,74,,,,,83,,,,"Auxiliary sciences"
KBR,100,,A,,,,,Z,,"Proverbia. Legal maxims. Brocardica juris. Regulae juris"
KBR,105,,A,,,,,Z,,"Formularies. Clauses and forms. Formularia"
KBR,122,,,,,124,,,,"Collective biography of canonists or jurists"
KBR,127,,,,,129,5,,,"Trials"
KBR,130,,,,,132,,,,"Legal research. Legal bibliography. Methods of bibliographic research"
KBR,133,,,,,134,,,,"Legal education. Study and teaching"
KBR,136,,,,,148,,,,"Societies. Associations. Academies, etc."
KBR,150,,,,,,,,,"Conferences. Symposia"
KBR,160,,,,,,,,,"General works"
KBR,190,,,,,2154,5,,,"Sources"
KBR,2155,,,,,2157,,,,"Canon law and other disciplines or subjects"
KBR,2160,,,,,2204,5,,,"Canonical jurisprudence. Canonical science"
KBR,2205,,,,,2206,3,,,"Influence of other legal systems on Canon law"
KBR,2207,,,,,,,,,"Law reform and policies. Criticism"
KBR,2208,,A,,,,,Z,,"General concepts and principles, A Z"
KBR,2224,,,,,2295,,,,"Ius ecclesiasticum privatum"
KBR,2310,,,,,3026,,,,"Constitution of the Church"
KBR,3040,,,,,3070,,,,"The teaching office of the church. Magisterium. De ecclesiae munere docendi"
KBR,3077,,,,,3165,,,,"Sacraments. Administration of sacraments. De sacramentis et administratione"
KBR,3180,,,,,3182,,,,"Sacramentals. Sacramentalia"
KBR,3184,,,,,3256,,,,"Other acts of divine worship. De ceteris actibus Cultus Divini"
KBR,3264,,,,,3280,,,,"Social work of the Church. Public welfare. Caritas"
KBR,3320,,,,,3460,,,,"Church property. Church economics and finance. Administration"
KBR,3500,,,,,3774,,,,"Penal (Criminal) law. De lege poenali"
KBR,3780,,,,,3983,,,,"Judiciary. Ecclesiastical courts and procedure. De processibus"
KBR,4000,,,,,4090,,,,"Church and state relationships. De relationibus inter ecclesiam et status. Ius publicum ecclesiae"
KBU,2,,,,,4820,,,,"Law of the Roman Catholic Church. The Holy See"
KBU,2,,,,,19,,,,"Bibliography"
KBU,21,,,,,,,,,"Annuals. Annuaires. Yearbooks"
KBU,22,,,,,,,,,"Monographic series"
KBU,25,,,,,26,,,,"Official gazette of the Holy See"
KBU,26,8,,,,41,5,,,"Official acts of the Holy See"
KBU,42,,,,,54,5,,,"Decisions of ecclesiastical tribunals and courts, and related materials"
KBU,56,,,,,,,,,"Encyclopedias"
KBU,56,5,,,,,,,,"Dictionaries. Terms and phrases. Vocabularies"
KBU,64,,,,,,,,,"Directories"
KBU,102,,,,,,,,,"Form books. Clauses and forms"
KBU,127,,,,,129,5,,,"Trials"
KBU,130,,,,,132,,,,"Legal research. Legal bibliography. Methods of bibliographic research"
KBU,133,,,,,,,,,"Legal education. Study and teaching"
KBU,136,,,,,148,,,,"Societies. Associations. Academies, etc."
KBU,149,,,,,,,,,"Academies. Institutes"
KBU,150,,,,,,,,,"Conferences. Symposia"
KBU,160,,,,,,,,,"General works"
KBU,180,,A,,,,,Z,,"Works on diverse aspects of a particular subject and falling within several branches of the law. By subject, A Z"
KBU,195,,,,,1565,,,,"Collections. Compilations. Selections"
KBU,2155,,,,,2157,,,,"Canon law and other disciplines or subjects"
KBU,2160,,,,,2204,,,,"Canonical jurisprudence. Theory and science of canon law"
KBU,2205,,,,,2206,,,,"Influence of other legal systems on canon law"
KBU,2207,,,,,,,,,"Law reform and policies. Criticism"
KBU,2208,,A,,,,,Z,,"Concepts applying to several branches of the law, A Z"
KBU,2210,,,,,2212,,,,"The codes of canon law"
KBU,2215,,,,,2308,,,,"General norms and principles. De normis generalibus"
KBU,2310,,,,,3026,,,,"Constitution of the Church"
KBU,3040,,,,,3070,,,,"The teaching office of the Church. Magisterium. De ecclesiae munere docendi"
KBU,3075,,,,,3165,,,,"Sacraments. Administration of sacraments. De sacramentis et administratione"
KBU,3180,,,,,3182,,,,"Sacramentals. Sacramentalia"
KBU,3184,,,,,3256,,,,"Other acts of divine worship. De ceteris actibus Cultus Divini"
KBU,3264,,,,,3280,,,,"Social work of the Church. Public welfare. Caritas"
KBU,3282,,,,,3310,,,,"Medical ethics and legislation. Church policy"
KBU,3320,,,,,3460,,,,"Church property. Church economics and finance"
KBU,3500,,,,,3774,,,,"Sanctions in the Church. Criminal law. De sanctionibus in Ecclesia. De lege poenali"
KBU,3780,,,,,3985,,,,"Courts and procedure. De processibus"
KBU,4000,,,,,4097,,,,"Church and state relationships. De relationibus inter ecclesiam et status. Ius publicum ecclesiae"
KBU,4112,,,,,4820,,,,"Local Church government"
KD,,,,,,,,,,"Law of the United Kingdom and Ireland"
KD,51,,,,,9500,,,,"England and Wales"
KD,8850,,,,,9312,,,,"Local laws of England"
KD,9320,,,,,9355,,,,"Local laws of Wales"
KD,9400,,,,,9500,,,,"Wales"
KDC,51,,,,,990,,,,"Scotland"
KDE,21,,,,,580,,,,"Northern Ireland"
KDG,26,,,,,540,,,,"Isle of Man. Channel Islands"
KDK,21,,,,,1950,,,,"Ireland (Eire)"
KDZ,1,,,,,4999,,,,"America. North America"
KDZ,1101,,,,,1199,,,,"Organization of American States (OAS)"
KDZ,2001,,,,,2499,2,,,"Bermuda"
KDZ,3001,,,,,3499,,,,"Greenland"
KDZ,4001,,,,,4499,,,,"St. Pierre and Miquelon"
KE,,,,,,,,,,"Law of Canada"
KE,1,,,,,9450,,,,"Federal law. Common and collective provincial law Individual provinces and territories"
KEA,1,,,,,599,,,,"Alberta"
KEB,1,,,,,599,,,,"British Columbia"
KEM,1,,,,,599,,,,"Manitoba"
KEN,1,,,,,599,,,,"New Brunswick"
KEN,1201,,,,,1799,,,,"Newfoundland"
KEN,5401,,,,,5999,,,,"Northwest Territories"
KEN,7401,,,,,7999,,,,"Nova Scotia"
KEO,1,,,,,1199,,,,"Ontario"
KEP,1,,,,,599,,,,"Prince Edward Island"
KEQ,1,,,,,1199,,,,"Quebec"
KES,1,,,,,599,,,,"Saskatchewan"
KEY,1,,,,,599,,,,"Yukon Territory"
KEZ,1,,,,,9999,,,,"Individual cities, A Z"
KF,,,,,,,,,,"Law of the United States"
KF,1,,,,,9827,,,,"Federal law. Common and collective state law Individual states"
KFA,1,,,,,599,,,,"Alabama"
KFA,1201,,,,,1799,,,,"Alaska"
KFA,2401,,,,,2999,,,,"Arizona"
KFA,3601,,,,,4199,,,,"Arkansas"
KFC,1,,,,,1199,,,,"California"
KFC,1801,,,,,2399,,,,"Colorado"
KFC,3601,,,,,4199,,,,"Connecticut"
KFD,1,,,,,599,,,,"Delaware"
KFD,1201,,,,,1799,,,,"District of Columbia"
KFF,1,,,,,599,,,,"Florida"
KFG,1,,,,,599,,,,"Georgia"
KFH,1,,,,,599,,,,"Hawaii"
KFI,1,,,,,599,,,,"Idaho"
KFI,1201,,,,,1799,,,,"Illinois"
KFI,3001,,,,,3599,,,,"Indiana"
KFI,4201,,,,,4799,,,,"Iowa"
KFK,1,,,,,599,,,,"Kansas"
KFK,1201,,,,,1799,,,,"Kentucky"
KFL,1,,,,,599,,,,"Louisiana"
